"ZGJEDHJET PËR KUVENDIN E KOSOVËS 2021
IZBORI ZA SKUPŠTINU KOSOVA 2021","REZULTATET PËRFUNDIMTARE NGA QNR
KONAČNI REZULTATI IZ CPR-a","REZULTATET SIPAS SUBJEKTEVE
REZULTATI PO SUBJEKTIMA","ZGJEDHJET / IZBORI
2021"
"","","",""
"VOTAT/ GLASOVA","PËRQINDJA/ 
PROCENAT","EMRI I PARTISË / NAZIV PARTIJE",""
"127. LËVIZJA VETËVENDOSJE!","438,335","50.280%",""
"134. PARTIA DEMOKRATIKE E KOSOVËS - PDK","148,285","17.009%",""
"132. LIDHJA DEMOKRATIKE E KOSOVËS - LDK","110,985","12.731%",""
"135. ALEANCA PËR ARDHMËRINË E KOSOVËS - AAK","62,111","7.124%",""
"119. SRPSKA LISTA","44,407","5.094%",""
"121. NISMA SOCIALDEMOKRATE - NISMA","21,997","2.523%",""
"112. KOSOVA DEMOKRATİK TÜRK PARTİSİ - KDTP","6,496","0.745%",""
"113. KOALICIJA VAKAT","5,366","0.616%",""
"111. INICIATIVA E RE DEMOKRATIKE E KOSOVËS - IRDK","3,305","0.379%",""
"124. ROMANI INICIYATIVA - RI","3,172","0.364%",""
"131. NOVA DEMOKRATSKA STRANKA - NDS","2,885","0.331%",""
"125. SOCIALDEMOKRATSKA UNIJA - SDU","2,549","0.292%",""
"136. PARTIA LIBERALE EGJIPTIANE - PLE","2,430","0.279%",""
"129. UJEDINJENA ZAJEDNICA - ADRIJANA HODŽIĆ - UZ-AH","2,217","0.254%",""
"137. JEDINSTVENA GORANSKA PARTIJA - JGP","2,161","0.248%",""
"130. PARTIA E ASHKALINJËVE PËR INTEGRIM - PAI","2,138","0.245%",""
"128. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS - PDAK","1,960","0.225%",""
"115. GI ZA SLOBODU PRAVDU I OPSTANAK - GI SPO","1,508","0.173%",""
"133. NAŠA INICIJATIVA - NAŠA","1,375","0.158%",""
"116. LËVIZJA PËR BASHKËVEPRIM - LpB","1,261","0.145%",""
"114. YENİLİKÇİ TÜRK HAREKET PARTİSİ - YTHP","1,243","0.143%",""
"123. LËVIZJA PËRPARIMTARE E ROMËVE TË KOSOVËS - LPRK","1,208","0.139%",""
"138. FJALA","1,087","0.125%",""
"117. PARTIA ROME E BASHKUAR E KOSOVËS - PREBK","1,074","0.123%",""
"122. KOALICIJA ZAJENO","1,010","0.116%",""
"126. KOSOVAKI NEVI ROMANI PARTIA - KNRP","600","0.069%",""
"118. SRPSKI DEMOKRATSKI SAVEZ - SDS","476","0.055%",""
"120. PARTIA BALLISTE - PB","155","0.018%",""
"ZGJEDHJET PËR KUVENDIN E KOSOVËS 2021 / IZBORI ZA SKUPŠTINU KOSOVA 2021","Page -1 of 1","",""
